REST	NUM
orleanstest12.table.core.windows.net GET Path = /OrleansReminders() status_code = 200 reason_phrase = OK $filter=["(PartitionKey gt '6e94c9fef5fa4ae6b8045a4368659ced_D0514215') and (PartitionKey le '6e94c9fef5fa4ae6b8045a4368659ced_D340A24A')"] $format=['application/json;odata=minimalmetadata']	1
orleanstest12.table.core.windows.net GET Path = /OrleansReminders() status_code = 200 reason_phrase = OK $filter=["(PartitionKey gt '6e94c9fef5fa4ae6b8045a4368659ced_DCE7D97D') and (PartitionKey le '6e94c9fef5fa4ae6b8045a4368659ced_E8B288DC')"] $format=['application/json;odata=minimalmetadata']	1
orleanstest12.table.core.windows.net GET Path = /OrleansReminders() status_code = 200 reason_phrase = OK $filter=["(PartitionKey gt '6e94c9fef5fa4ae6b8045a4368659ced_D403CFB0') and (PartitionKey le '6e94c9fef5fa4ae6b8045a4368659ced_DA86B5B3')"] $format=['application/json;odata=minimalmetadata']	1
orleanstest12.table.core.windows.net GET Path = /OrleansReminders() status_code = 200 reason_phrase = OK $filter=["(PartitionKey gt '6e94c9fef5fa4ae6b8045a4368659ced_DCB415DC') and (PartitionKey le '6e94c9fef5fa4ae6b8045a4368659ced_DCE7D97D')"] $format=['application/json;odata=minimalmetadata']	1
orleanstest12.table.core.windows.net GET Path = /OrleansReminders() status_code = 200 reason_phrase = OK $filter=["(PartitionKey gt '6e94c9fef5fa4ae6b8045a4368659ced_E97063EA') and (PartitionKey le '6e94c9fef5fa4ae6b8045a4368659ced_FE16D0A4')"] $format=['application/json;odata=minimalmetadata']	1
orleanstest12.table.core.windows.net GET Path = /OrleansReminders() status_code = 200 reason_phrase = OK $filter=["(PartitionKey gt '6e94c9fef5fa4ae6b8045a4368659ced_E8B288DC') and (PartitionKey le '6e94c9fef5fa4ae6b8045a4368659ced_E97063EA')"] $format=['application/json;odata=minimalmetadata']	1
orleanstest12.table.core.windows.net GET Path = /OrleansReminders() status_code = 200 reason_phrase = OK $filter=["((PartitionKey gt '6e94c9fef5fa4ae6b8045a4368659ced_') and (PartitionKey le '6e94c9fef5fa4ae6b8045a4368659ced_051D5360')) or ((PartitionKey gt '6e94c9fef5fa4ae6b8045a4368659ced_FE16D0A4') and (PartitionKey lt '6e94c9fef5fa4ae6b8045a4368659ced`'))"] $format=['application/json;odata=minimalmetadata']	1
orleanstest12.table.core.windows.net GET Path = /OrleansReminders() status_code = 200 reason_phrase = OK $filter=["(PartitionKey gt '6e94c9fef5fa4ae6b8045a4368659ced_05D41D88') and (PartitionKey le '6e94c9fef5fa4ae6b8045a4368659ced_08045084')"] $format=['application/json;odata=minimalmetadata']	1
orleanstest12.table.core.windows.net GET Path = /OrleansReminders() status_code = 200 reason_phrase = OK $filter=["(PartitionKey gt '6e94c9fef5fa4ae6b8045a4368659ced_088642B9') and (PartitionKey le '6e94c9fef5fa4ae6b8045a4368659ced_08C4F758')"] $format=['application/json;odata=minimalmetadata']	1
orleanstest12.table.core.windows.net GET Path = /OrleansReminders() status_code = 200 reason_phrase = OK $filter=["(PartitionKey gt '6e94c9fef5fa4ae6b8045a4368659ced_0D4306BD') and (PartitionKey le '6e94c9fef5fa4ae6b8045a4368659ced_0D9BCC24')"] $format=['application/json;odata=minimalmetadata']	1
orleanstest12.table.core.windows.net GET Path = /OrleansReminders() status_code = 200 reason_phrase = OK $filter=["(PartitionKey gt '6e94c9fef5fa4ae6b8045a4368659ced_141384B1') and (PartitionKey le '6e94c9fef5fa4ae6b8045a4368659ced_1AB2C35A')"] $format=['application/json;odata=minimalmetadata']	1
orleanstest12.table.core.windows.net GET Path = /OrleansReminders() status_code = 200 reason_phrase = OK $filter=["(PartitionKey gt '6e94c9fef5fa4ae6b8045a4368659ced_1BDFDE5E') and (PartitionKey le '6e94c9fef5fa4ae6b8045a4368659ced_26AD4D91')"] $format=['application/json;odata=minimalmetadata']	1
orleanstest12.table.core.windows.net GET Path = /OrleansReminders() status_code = 200 reason_phrase = OK $filter=["(PartitionKey gt '6e94c9fef5fa4ae6b8045a4368659ced_3B62CDDD') and (PartitionKey le '6e94c9fef5fa4ae6b8045a4368659ced_40AE3D3E')"] $format=['application/json;odata=minimalmetadata']	1
orleanstest12.table.core.windows.net GET Path = /OrleansReminders() status_code = 200 reason_phrase = OK $filter=["(PartitionKey gt '6e94c9fef5fa4ae6b8045a4368659ced_6750DE29') and (PartitionKey le '6e94c9fef5fa4ae6b8045a4368659ced_69273964')"] $format=['application/json;odata=minimalmetadata']	1
orleanstest12.table.core.windows.net GET Path = /OrleansReminders() status_code = 200 reason_phrase = OK $filter=["(PartitionKey gt '6e94c9fef5fa4ae6b8045a4368659ced_6FEAA004') and (PartitionKey le '6e94c9fef5fa4ae6b8045a4368659ced_767A101F')"] $format=['application/json;odata=minimalmetadata']	1
orleanstest12.table.core.windows.net GET Path = /OrleansReminders() status_code = 200 reason_phrase = OK $filter=["(PartitionKey gt '6e94c9fef5fa4ae6b8045a4368659ced_7F8BF400') and (PartitionKey le '6e94c9fef5fa4ae6b8045a4368659ced_8CC44EB4')"] $format=['application/json;odata=minimalmetadata']	1
orleanstest12.table.core.windows.net GET Path = /OrleansReminders() status_code = 200 reason_phrase = OK $filter=["(PartitionKey gt '6e94c9fef5fa4ae6b8045a4368659ced_955F8290') and (PartitionKey le '6e94c9fef5fa4ae6b8045a4368659ced_9E26F3DF')"] $format=['application/json;odata=minimalmetadata']	1
orleanstest12.table.core.windows.net GET Path = /OrleansReminders() status_code = 200 reason_phrase = OK $filter=["(PartitionKey gt '6e94c9fef5fa4ae6b8045a4368659ced_A2C6EDAF') and (PartitionKey le '6e94c9fef5fa4ae6b8045a4368659ced_A90E6FE8')"] $format=['application/json;odata=minimalmetadata']	1
orleanstest12.table.core.windows.net GET Path = /OrleansReminders() status_code = 200 reason_phrase = OK $filter=["(PartitionKey gt '6e94c9fef5fa4ae6b8045a4368659ced_ACD3214C') and (PartitionKey le '6e94c9fef5fa4ae6b8045a4368659ced_BA2F6B87')"] $format=['application/json;odata=minimalmetadata']	1
orleanstest12.table.core.windows.net GET Path = /OrleansReminders() status_code = 200 reason_phrase = OK $filter=["(PartitionKey gt '6e94c9fef5fa4ae6b8045a4368659ced_BC00CC22') and (PartitionKey le '6e94c9fef5fa4ae6b8045a4368659ced_CD64AC7E')"] $format=['application/json;odata=minimalmetadata']	1
orleanstest12.table.core.windows.net GET Path = /OrleansReminders() status_code = 200 reason_phrase = OK $filter=["(PartitionKey gt '6e94c9fef5fa4ae6b8045a4368659ced_D0514215') and (PartitionKey le '6e94c9fef5fa4ae6b8045a4368659ced_D340A24A')"] $format=['application/json;odata=minimalmetadata']	1
orleanstest12.table.core.windows.net GET Path = /OrleansReminders() status_code = 200 reason_phrase = OK $filter=["(PartitionKey gt '6e94c9fef5fa4ae6b8045a4368659ced_D403CFB0') and (PartitionKey le '6e94c9fef5fa4ae6b8045a4368659ced_DA86B5B3')"] $format=['application/json;odata=minimalmetadata']	1
orleanstest12.table.core.windows.net GET Path = /OrleansReminders() status_code = 200 reason_phrase = OK $filter=["(PartitionKey gt '6e94c9fef5fa4ae6b8045a4368659ced_DCB415DC') and (PartitionKey le '6e94c9fef5fa4ae6b8045a4368659ced_DCE7D97D')"] $format=['application/json;odata=minimalmetadata']	1
orleanstest12.table.core.windows.net GET Path = /OrleansReminders() status_code = 200 reason_phrase = OK $filter=["(PartitionKey gt '6e94c9fef5fa4ae6b8045a4368659ced_E8B288DC') and (PartitionKey le '6e94c9fef5fa4ae6b8045a4368659ced_E97063EA')"] $format=['application/json;odata=minimalmetadata']	1
orleanstest12.table.core.windows.net GET Path = /OrleansReminders() status_code = 200 reason_phrase = OK $filter=["((PartitionKey gt '6e94c9fef5fa4ae6b8045a4368659ced_') and (PartitionKey le '6e94c9fef5fa4ae6b8045a4368659ced_051D5360')) or ((PartitionKey gt '6e94c9fef5fa4ae6b8045a4368659ced_FE16D0A4') and (PartitionKey lt '6e94c9fef5fa4ae6b8045a4368659ced`'))"] $format=['application/json;odata=minimalmetadata']	1
orleanstest12.table.core.windows.net GET Path = /OrleansReminders() status_code = 200 reason_phrase = OK $filter=["(PartitionKey eq '6e94c9fef5fa4ae6b8045a4368659ced_241A822C') and ((RowKey gt 'remindertestgrain2_8ed5f6e1d3114a3caf5d9e5758c1c4bb-') and (RowKey le 'remindertestgrain2_8ed5f6e1d3114a3caf5d9e5758c1c4bb.'))"] $format=['application/json;odata=minimalmetadata']	1
orleanstest12.table.core.windows.net PATCH Path = /OrleansReminders(PartitionKey='6e94c9fef5fa4ae6b8045a4368659ced_241A822C',RowKey='remindertestgrain2_8ed5f6e1d3114a3caf5d9e5758c1c4bb-DEFAULT_REMINDER') status_code = 204 reason_phrase = No Content $format=['application/json;odata=minimalmetadata']	1
orleanstest12.table.core.windows.net GET Path = /OrleansReminders() status_code = 200 reason_phrase = OK $filter=["(PartitionKey gt '6e94c9fef5fa4ae6b8045a4368659ced_05D41D88') and (PartitionKey le '6e94c9fef5fa4ae6b8045a4368659ced_08045084')"] $format=['application/json;odata=minimalmetadata']	1
orleanstest12.table.core.windows.net GET Path = /OrleansReminders() status_code = 200 reason_phrase = OK $filter=["(PartitionKey gt '6e94c9fef5fa4ae6b8045a4368659ced_088642B9') and (PartitionKey le '6e94c9fef5fa4ae6b8045a4368659ced_08C4F758')"] $format=['application/json;odata=minimalmetadata']	1
orleanstest12.table.core.windows.net GET Path = /OrleansReminders() status_code = 200 reason_phrase = OK $filter=["(PartitionKey gt '6e94c9fef5fa4ae6b8045a4368659ced_0D4306BD') and (PartitionKey le '6e94c9fef5fa4ae6b8045a4368659ced_0D9BCC24')"] $format=['application/json;odata=minimalmetadata']	1
orleanstest12.table.core.windows.net GET Path = /OrleansReminders() status_code = 200 reason_phrase = OK $filter=["(PartitionKey gt '6e94c9fef5fa4ae6b8045a4368659ced_141384B1') and (PartitionKey le '6e94c9fef5fa4ae6b8045a4368659ced_1AB2C35A')"] $format=['application/json;odata=minimalmetadata']	1
orleanstest12.table.core.windows.net GET Path = /OrleansReminders() status_code = 200 reason_phrase = OK $filter=["(PartitionKey gt '6e94c9fef5fa4ae6b8045a4368659ced_1BDFDE5E') and (PartitionKey le '6e94c9fef5fa4ae6b8045a4368659ced_26AD4D91')"] $format=['application/json;odata=minimalmetadata']	1
orleanstest12.table.core.windows.net GET Path = /OrleansReminders() status_code = 200 reason_phrase = OK $filter=["(PartitionKey gt '6e94c9fef5fa4ae6b8045a4368659ced_3B62CDDD') and (PartitionKey le '6e94c9fef5fa4ae6b8045a4368659ced_40AE3D3E')"] $format=['application/json;odata=minimalmetadata']	1
orleanstest12.table.core.windows.net GET Path = /OrleansReminders() status_code = 200 reason_phrase = OK $filter=["(PartitionKey gt '6e94c9fef5fa4ae6b8045a4368659ced_6750DE29') and (PartitionKey le '6e94c9fef5fa4ae6b8045a4368659ced_69273964')"] $format=['application/json;odata=minimalmetadata']	1
orleanstest12.table.core.windows.net GET Path = /OrleansReminders() status_code = 200 reason_phrase = OK $filter=["(PartitionKey gt '6e94c9fef5fa4ae6b8045a4368659ced_6FEAA004') and (PartitionKey le '6e94c9fef5fa4ae6b8045a4368659ced_767A101F')"] $format=['application/json;odata=minimalmetadata']	1
orleanstest12.table.core.windows.net GET Path = /OrleansReminders() status_code = 200 reason_phrase = OK $filter=["(PartitionKey gt '6e94c9fef5fa4ae6b8045a4368659ced_7F8BF400') and (PartitionKey le '6e94c9fef5fa4ae6b8045a4368659ced_8CC44EB4')"] $format=['application/json;odata=minimalmetadata']	1
orleanstest12.table.core.windows.net GET Path = /OrleansReminders() status_code = 200 reason_phrase = OK $filter=["(PartitionKey gt '6e94c9fef5fa4ae6b8045a4368659ced_955F8290') and (PartitionKey le '6e94c9fef5fa4ae6b8045a4368659ced_9E26F3DF')"] $format=['application/json;odata=minimalmetadata']	1
orleanstest12.table.core.windows.net GET Path = /OrleansReminders() status_code = 200 reason_phrase = OK $filter=["(PartitionKey gt '6e94c9fef5fa4ae6b8045a4368659ced_A2C6EDAF') and (PartitionKey le '6e94c9fef5fa4ae6b8045a4368659ced_A90E6FE8')"] $format=['application/json;odata=minimalmetadata']	1
orleanstest12.table.core.windows.net GET Path = /OrleansReminders() status_code = 200 reason_phrase = OK $filter=["(PartitionKey gt '6e94c9fef5fa4ae6b8045a4368659ced_ACD3214C') and (PartitionKey le '6e94c9fef5fa4ae6b8045a4368659ced_BA2F6B87')"] $format=['application/json;odata=minimalmetadata']	1
orleanstest12.table.core.windows.net GET Path = /OrleansReminders() status_code = 200 reason_phrase = OK $filter=["(PartitionKey gt '6e94c9fef5fa4ae6b8045a4368659ced_BC00CC22') and (PartitionKey le '6e94c9fef5fa4ae6b8045a4368659ced_CD64AC7E')"] $format=['application/json;odata=minimalmetadata']	1
orleanstest12.table.core.windows.net GET Path = /OrleansReminders() status_code = 200 reason_phrase = OK $filter=["(PartitionKey gt '6e94c9fef5fa4ae6b8045a4368659ced_D0514215') and (PartitionKey le '6e94c9fef5fa4ae6b8045a4368659ced_D340A24A')"] $format=['application/json;odata=minimalmetadata']	1
orleanstest12.table.core.windows.net GET Path = /OrleansReminders() status_code = 200 reason_phrase = OK $filter=["(PartitionKey gt '6e94c9fef5fa4ae6b8045a4368659ced_D403CFB0') and (PartitionKey le '6e94c9fef5fa4ae6b8045a4368659ced_DA86B5B3')"] $format=['application/json;odata=minimalmetadata']	1
orleanstest12.table.core.windows.net GET Path = /OrleansReminders() status_code = 200 reason_phrase = OK $filter=["(PartitionKey gt '6e94c9fef5fa4ae6b8045a4368659ced_DCB415DC') and (PartitionKey le '6e94c9fef5fa4ae6b8045a4368659ced_DCE7D97D')"] $format=['application/json;odata=minimalmetadata']	1
orleanstest12.table.core.windows.net GET Path = /OrleansReminders() status_code = 200 reason_phrase = OK $filter=["(PartitionKey gt '6e94c9fef5fa4ae6b8045a4368659ced_E8B288DC') and (PartitionKey le '6e94c9fef5fa4ae6b8045a4368659ced_E97063EA')"] $format=['application/json;odata=minimalmetadata']	1
orleanstest12.table.core.windows.net GET Path = /OrleansReminders() status_code = 200 reason_phrase = OK $filter=["((PartitionKey gt '6e94c9fef5fa4ae6b8045a4368659ced_') and (PartitionKey le '6e94c9fef5fa4ae6b8045a4368659ced_051D5360')) or ((PartitionKey gt '6e94c9fef5fa4ae6b8045a4368659ced_FE16D0A4') and (PartitionKey lt '6e94c9fef5fa4ae6b8045a4368659ced`'))"] $format=['application/json;odata=minimalmetadata']	1
vortex.data.microsoft.com POST Path = /collect/v1 status_code = 200 reason_phrase = OK	1
orleanstest12.table.core.windows.net GET Path = /OrleansReminders() status_code = 200 reason_phrase = OK $filter=["(PartitionKey gt '6e94c9fef5fa4ae6b8045a4368659ced_051D5360') and (PartitionKey le '6e94c9fef5fa4ae6b8045a4368659ced_05D41D88')"] $format=['application/json;odata=minimalmetadata']	1
orleanstest12.table.core.windows.net GET Path = /OrleansReminders() status_code = 200 reason_phrase = OK $filter=["(PartitionKey gt '6e94c9fef5fa4ae6b8045a4368659ced_08045084') and (PartitionKey le '6e94c9fef5fa4ae6b8045a4368659ced_088642B9')"] $format=['application/json;odata=minimalmetadata']	1
orleanstest12.table.core.windows.net GET Path = /OrleansReminders() status_code = 200 reason_phrase = OK $filter=["(PartitionKey gt '6e94c9fef5fa4ae6b8045a4368659ced_08C4F758') and (PartitionKey le '6e94c9fef5fa4ae6b8045a4368659ced_0D4306BD')"] $format=['application/json;odata=minimalmetadata']	1
orleanstest12.table.core.windows.net GET Path = /OrleansReminders() status_code = 200 reason_phrase = OK $filter=["(PartitionKey gt '6e94c9fef5fa4ae6b8045a4368659ced_0D9BCC24') and (PartitionKey le '6e94c9fef5fa4ae6b8045a4368659ced_141384B1')"] $format=['application/json;odata=minimalmetadata']	1
orleanstest12.table.core.windows.net GET Path = /OrleansReminders() status_code = 200 reason_phrase = OK $filter=["(PartitionKey gt '6e94c9fef5fa4ae6b8045a4368659ced_1AB2C35A') and (PartitionKey le '6e94c9fef5fa4ae6b8045a4368659ced_1BDFDE5E')"] $format=['application/json;odata=minimalmetadata']	1
orleanstest12.table.core.windows.net GET Path = /OrleansReminders() status_code = 200 reason_phrase = OK $filter=["(PartitionKey gt '6e94c9fef5fa4ae6b8045a4368659ced_26AD4D91') and (PartitionKey le '6e94c9fef5fa4ae6b8045a4368659ced_3B62CDDD')"] $format=['application/json;odata=minimalmetadata']	1
orleanstest12.table.core.windows.net GET Path = /OrleansReminders() status_code = 200 reason_phrase = OK $filter=["(PartitionKey gt '6e94c9fef5fa4ae6b8045a4368659ced_40AE3D3E') and (PartitionKey le '6e94c9fef5fa4ae6b8045a4368659ced_6750DE29')"] $format=['application/json;odata=minimalmetadata']	1
orleanstest12.table.core.windows.net GET Path = /OrleansReminders() status_code = 200 reason_phrase = OK $filter=["(PartitionKey gt '6e94c9fef5fa4ae6b8045a4368659ced_69273964') and (PartitionKey le '6e94c9fef5fa4ae6b8045a4368659ced_6FEAA004')"] $format=['application/json;odata=minimalmetadata']	1
orleanstest12.table.core.windows.net GET Path = /OrleansReminders() status_code = 200 reason_phrase = OK $filter=["(PartitionKey gt '6e94c9fef5fa4ae6b8045a4368659ced_767A101F') and (PartitionKey le '6e94c9fef5fa4ae6b8045a4368659ced_7F8BF400')"] $format=['application/json;odata=minimalmetadata']	1
orleanstest12.table.core.windows.net GET Path = /OrleansReminders() status_code = 200 reason_phrase = OK $filter=["(PartitionKey gt '6e94c9fef5fa4ae6b8045a4368659ced_8CC44EB4') and (PartitionKey le '6e94c9fef5fa4ae6b8045a4368659ced_955F8290')"] $format=['application/json;odata=minimalmetadata']	1
